,Year,Month,Incident Zip,Sanitation_related,Neighborhood_related,House_related,Pollution_related,Other_related
126,2015,1,11223,1368,1368,1368,1368,1368
127,2015,1,11224,757,757,757,757,757
128,2015,1,11225,2257,2257,2257,2257,2257
129,2015,1,11226,3824,3824,3824,3824,3824
130,2015,1,11228,652,652,652,652,652
131,2015,1,11229,1424,1424,1424,1424,1424
132,2015,1,11230,1812,1812,1812,1812,1812
133,2015,1,11231,691,691,691,691,691
134,2015,1,11232,680,680,680,680,680
135,2015,1,11233,1997,1997,1997,1997,1997
136,2015,1,11234,1474,1474,1474,1474,1474
137,2015,1,11235,1473,1473,1473,1473,1473
138,2015,1,11236,1290,1290,1290,1290,1290
139,2015,1,11237,1277,1277,1277,1277,1277
140,2015,1,11238,1537,1537,1537,1537,1537
141,2015,1,11239,56,56,56,56,56
142,2015,1,11241,1,1,1,1,1
143,2015,1,11249,561,561,561,561,561
144,2015,1,11354,798,798,798,798,798
145,2015,1,11355,1141,1141,1141,1141,1141
146,2015,1,11356,360,360,360,360,360
147,2015,1,11357,504,504,504,504,504
148,2015,1,11358,521,521,521,521,521
149,2015,1,11360,152,152,152,152,152
150,2015,1,11361,350,350,350,350,350
151,2015,1,11362,202,202,202,202,202
152,2015,1,11363,126,126,126,126,126
153,2015,1,11364,434,434,434,434,434
154,2015,1,11365,444,444,444,444,444
155,2015,1,11366,346,346,346,346,346
156,2015,1,11367,574,574,574,574,574
157,2015,1,11368,1418,1418,1418,1418,1418
158,2015,1,11369,513,513,513,513,513
159,2015,1,11370,403,403,403,403,403
160,2015,1,11372,1255,1255,1255,1255,1255
161,2015,1,11373,1312,1312,1312,1312,1312
162,2015,1,11374,788,788,788,788,788
163,2015,1,11375,1061,1061,1061,1061,1061
164,2015,1,11377,1458,1458,1458,1458,1458
165,2015,1,11378,633,633,633,633,633
166,2015,1,11379,507,507,507,507,507
167,2015,1,11385,1898,1898,1898,1898,1898
168,2015,1,11411,366,366,366,366,366
169,2015,1,11412,566,566,566,566,566
170,2015,1,11413,556,556,556,556,556
171,2015,1,11414,447,447,447,447,447
172,2015,1,11415,478,478,478,478,478
173,2015,1,11416,434,434,434,434,434
174,2015,1,11417,561,561,561,561,561
175,2015,1,11418,588,588,588,588,588
176,2015,1,11419,674,674,674,674,674
