,Year,Month,BORO_NM,LAW_CAT_FELONY,LAW_CAT_MISDEMEANOR,LAW_CAT_VIOLATION
122,2016,11,QUEENS,2568,3813,1095
123,2016,11,STATEN ISLAND,424,987,358
124,2016,12,(null),1,0,0
125,2016,12,BRONX,2578,4726,1169
126,2016,12,BROOKLYN,3720,5634,1505
127,2016,12,MANHATTAN,3108,5166,1040
128,2016,12,QUEENS,2627,3951,1038
129,2016,12,STATEN ISLAND,400,947,318
130,2017,1,BRONX,2474,5001,1227
131,2017,1,BROOKLYN,3751,5942,1626
132,2017,1,MANHATTAN,2864,5308,1048
133,2017,1,QUEENS,2507,3803,1079
134,2017,1,STATEN ISLAND,419,950,408
135,2017,2,BRONX,2101,4212,1004
136,2017,2,BROOKLYN,3211,5232,1411
137,2017,2,MANHATTAN,2509,4687,939
138,2017,2,QUEENS,2198,3390,957
139,2017,2,STATEN ISLAND,364,826,274
140,2017,3,BRONX,2351,4803,1246
141,2017,3,BROOKLYN,3448,5659,1577
142,2017,3,MANHATTAN,2765,5048,1033
143,2017,3,QUEENS,2332,3711,1042
144,2017,3,STATEN ISLAND,343,957,350
145,2017,4,(null),0,2,0
146,2017,4,BRONX,2292,4775,1168
147,2017,4,BROOKLYN,3517,5741,1605
148,2017,4,MANHATTAN,2887,5543,1100
149,2017,4,QUEENS,2341,3999,1159
150,2017,4,STATEN ISLAND,358,920,413
151,2017,5,BRONX,2449,5208,1378
152,2017,5,BROOKLYN,3713,6626,1753
153,2017,5,MANHATTAN,3057,5745,1215
154,2017,5,QUEENS,2457,4235,1274
155,2017,5,STATEN ISLAND,414,1066,461
156,2017,6,BRONX,2495,5129,1403
157,2017,6,BROOKLYN,3767,6286,1696
158,2017,6,MANHATTAN,2895,5569,1136
159,2017,6,QUEENS,2476,4251,1311
160,2017,6,STATEN ISLAND,403,1036,441
161,2017,7,BRONX,2582,5079,1289
162,2017,7,BROOKLYN,3984,6796,1713
163,2017,7,MANHATTAN,3110,5767,1118
164,2017,7,QUEENS,2635,4383,1335
165,2017,7,STATEN ISLAND,453,1088,374
166,2017,8,BRONX,2699,5337,1271
167,2017,8,BROOKLYN,3997,6645,1744
168,2017,8,MANHATTAN,3154,6011,1134
169,2017,8,QUEENS,2621,4380,1289
170,2017,8,STATEN ISLAND,430,1071,372
171,2017,9,BRONX,2382,5139,1326
172,2017,9,BROOKLYN,3770,6602,1723
173,2017,9,MANHATTAN,3067,5527,1139
174,2017,9,QUEENS,2509,4047,1254
175,2017,9,STATEN ISLAND,422,1033,419
176,2017,10,(null),0,1,0
177,2017,10,BRONX,2615,5284,1462
178,2017,10,BROOKLYN,4061,6380,1752
179,2017,10,MANHATTAN,3306,6036,1271
180,2017,10,QUEENS,2626,4128,1343
181,2017,10,STATEN ISLAND,381,1079,436
182,2017,11,BRONX,2262,4866,1285
183,2017,11,BROOKLYN,3571,5991,1663
184,2017,11,MANHATTAN,3030,5280,1091
