,Year,Month,BORO_NM,LAW_CAT_FELONY,LAW_CAT_MISDEMEANOR,LAW_CAT_VIOLATION
620,2024,3,BROOKLYN,4131,6557,2108
621,2024,3,MANHATTAN,3577,6084,1539
622,2024,3,QUEENS,3407,5415,1516
623,2024,3,STATEN ISLAND,596,1152,418
624,2024,4,(null),0,2,0
625,2024,4,BRONX,3398,4884,1525
626,2024,4,BROOKLYN,4195,6420,2150
627,2024,4,MANHATTAN,3628,6061,1402
628,2024,4,QUEENS,3429,5266,1569
629,2024,4,STATEN ISLAND,541,1092,415
630,2024,5,(null),4,54,1
631,2024,5,BRONX,3777,5336,1741
632,2024,5,BROOKLYN,4622,7013,2483
633,2024,5,MANHATTAN,3965,6511,1647
634,2024,5,QUEENS,3581,5710,1707
635,2024,5,STATEN ISLAND,567,1152,464
636,2024,6,(null),6,80,9
637,2024,6,BRONX,3762,5154,1653
638,2024,6,BROOKLYN,4577,7198,2349
639,2024,6,MANHATTAN,3791,6257,1424
640,2024,6,QUEENS,3687,5927,1780
641,2024,6,STATEN ISLAND,621,1095,426
642,2024,7,(null),11,118,7
643,2024,7,BRONX,4151,5506,1677
644,2024,7,BROOKLYN,4442,6899,2344
645,2024,7,MANHATTAN,4071,6619,1500
646,2024,7,QUEENS,3870,6035,1777
647,2024,7,STATEN ISLAND,576,1080,423
648,2024,8,(null),1,78,0
649,2024,8,BRONX,3947,5356,1647
650,2024,8,BROOKLYN,4459,7126,2334
651,2024,8,MANHATTAN,4031,6722,1432
652,2024,8,QUEENS,3839,5798,1684
653,2024,8,STATEN ISLAND,547,1011,422
654,2024,9,(null),2,95,0
655,2024,9,BRONX,3759,5209,1653
656,2024,9,BROOKLYN,4347,6826,2306
657,2024,9,MANHATTAN,3912,6574,1535
658,2024,9,QUEENS,3506,5588,1744
659,2024,9,STATEN ISLAND,563,1051,440
660,2024,10,(null),1,105,0
661,2024,10,BRONX,3910,5411,1753
662,2024,10,BROOKLYN,4397,7325,2407
663,2024,10,MANHATTAN,3971,6962,1625
664,2024,10,QUEENS,3536,5707,1776
665,2024,10,STATEN ISLAND,538,1135,435
666,2024,11,(null),0,82,0
667,2024,11,BRONX,3534,5332,1645
668,2024,11,BROOKLYN,4010,6814,2148
669,2024,11,MANHATTAN,3814,6445,1447
670,2024,11,QUEENS,3214,5354,1630
671,2024,11,STATEN ISLAND,465,1001,404
672,2024,12,(null),0,171,0
673,2024,12,BRONX,3269,5063,1507
674,2024,12,BROOKLYN,3630,6496,2005
675,2024,12,MANHATTAN,3481,5792,1380
676,2024,12,QUEENS,3062,5185,1453
677,2024,12,STATEN ISLAND,500,1044,375
