,Year,Borough,Data Value
0,2005.0,Bronx,52.67613502564103
1,2005.0,Brooklyn,37.80409175641026
2,2005.0,Manhattan,54.91051427860697
3,2005.0,New York City,37.886999466666666
4,2005.0,Queens,29.790712671497587
5,2005.0,Staten Island,23.255023107142858
6,2009.0,Bronx,35.14531707317073
7,2009.0,Brooklyn,26.710492307692306
8,2009.0,Manhattan,31.479538461538464
9,2009.0,New York City,34.07666666666667
10,2009.0,Queens,22.390714285714285
11,2009.0,Staten Island,23.6428
12,2010.0,Bronx,26.79204397297297
13,2010.0,Brooklyn,25.551541969491524
14,2010.0,Manhattan,40.162516954337896
15,2010.0,New York City,25.816824625
16,2010.0,Queens,27.20517973877551
17,2010.0,Staten Island,16.340235081081083
18,2011.0,Bronx,15.161807912909092
19,2011.0,Brooklyn,15.385758586037735
20,2011.0,Manhattan,17.6002192552551
21,2011.0,New York City,13.868571428571428
22,2011.0,Queens,14.886933869863636
23,2011.0,Staten Island,13.042702472727273
24,2012.0,Bronx,39.06933611487805
25,2012.0,Brooklyn,25.607973377163077
26,2012.0,Manhattan,29.257112784773078
27,2012.0,New York City,33.494210376
28,2012.0,Queens,20.617016453935715
29,2012.0,Staten Island,22.2514616539
30,2013.0,Bronx,18.068322147651006
31,2013.0,Brooklyn,15.985684647302906
32,2013.0,Manhattan,29.828032786885245
33,2013.0,New York City,15.0
34,2013.0,Queens,15.256206896551726
35,2013.0,Staten Island,11.557538461538462
36,2014.0,Bronx,15.267895628234044
37,2014.0,Brooklyn,15.276652691117903
38,2014.0,Manhattan,17.232720656063954
39,2014.0,New York City,11.998594857142859
40,2014.0,Queens,14.705558655822918
41,2014.0,Staten Island,12.208005785933333
42,2015.0,Bronx,32.24965065502183
43,2015.0,Brooklyn,21.096592797783934
44,2015.0,Manhattan,29.440307167235495
45,2015.0,New York City,26.113094444444446
46,2015.0,Queens,17.510127795527158
47,2015.0,Staten Island,17.78304347826087
48,2016.0,Bronx,16.60416
49,2016.0,Brooklyn,16.61668292682927
50,2016.0,Manhattan,18.798933333333334
51,2016.0,New York City,16.029999999999998
52,2016.0,Queens,16.016176470588235
53,2016.0,Staten Island,14.732000000000001
54,2017.0,Bronx,28.222975609756098
55,2017.0,Brooklyn,19.883692307692307
56,2017.0,Manhattan,22.416076923076925
57,2017.0,New York City,24.469333333333335
58,2017.0,Queens,16.759285714285717
59,2017.0,Staten Island,17.727899999999998
60,2018.0,Bronx,15.71832
61,2018.0,Brooklyn,15.561853658536585
62,2018.0,Manhattan,17.696666666666665
63,2018.0,New York City,15.040000000000001
64,2018.0,Queens,15.30629411764706
65,2018.0,Staten Island,13.217
66,2019.0,Bronx,25.052702810810814
67,2019.0,Brooklyn,25.193481915254235
68,2019.0,Manhattan,39.62531097716895
69,2019.0,New York City,23.90849475
70,2019.0,Queens,23.336550428571428
71,2019.0,Staten Island,13.990184797297296
72,2020.0,Bronx,14.95624
73,2020.0,Brooklyn,14.05960975609756
74,2020.0,Manhattan,16.063933333333335
75,2020.0,New York City,13.725999999999999
76,2020.0,Queens,13.755235294117647
77,2020.0,Staten Island,12.14
78,2021.0,Bronx,14.952395655712
79,2021.0,Brooklyn,14.883593
80,2021.0,Manhattan,16.24557910886
81,2021.0,New York City,14.3568921806
82,2021.0,Queens,14.459233332811765
83,2021.0,Staten Island,13.06562436474
84,2022.0,Bronx,14.738899375632
85,2022.0,Brooklyn,14.705409545331706
86,2022.0,Manhattan,15.849916673260001
87,2022.0,New York City,14.3297550822
88,2022.0,Queens,14.456883997994117
89,2022.0,Staten Island,13.216299530399999
90,2023.0,Bronx,15.603453115944
91,2023.0,Brooklyn,16.334508379692682
92,2023.0,Manhattan,16.646022472600002
93,2023.0,New York City,15.6775979976
94,2023.0,Queens,15.931731925864707
95,2023.0,Staten Island,14.52754990224
96,2024.0,Bronx,12.255900110943491
97,2024.0,Brooklyn,12.255900110943491
98,2024.0,Manhattan,12.255900110943491
99,2024.0,New York City,12.255900110943491
100,2024.0,Queens,12.255900110943491
101,2024.0,Staten Island,12.255900110943491
102,2025.0,Bronx,11.908672826056824
103,2025.0,Brooklyn,11.908672826056824
104,2025.0,Manhattan,11.908672826056824
105,2025.0,New York City,11.908672826056824
106,2025.0,Queens,11.908672826056824
107,2025.0,Staten Island,11.908672826056824
